Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,2016-06-08,3,4,4,3,3,4,4,7,3,3,4,3,4,2,2,2,2,2,2,3,3,3,4,3
31103,Fine Particulate Matter,2016-06-09,5,6,6,6,4,6,5,5,6,8,7,6,6,5,4,4,4,5,5,6,7,7,6,9
31103,Fine Particulate Matter,2016-06-10,8,7,7,10,7,6,6,7,7,10,11,9,9,7,6,7,10,15,11,11,15,15,18,13
31103,Fine Particulate Matter,2016-06-11,12,13,11,10,5,5,7,8,11,11,8,1,1,1,2,2,3,3,4,6,6,3,4,3
31103,Fine Particulate Matter,2016-06-12,3,1,2,3,0,0,0,0,0,1,2,2,0,1,4,3,2,2,3,3,1,1,1,1
31103,Fine Particulate Matter,2016-06-13,0,0,0,1,1,1,2,3,5,8,8,14,8,4,3,3,3,2,2,3,2,2,2,2
31103,Fine Particulate Matter,2016-06-14,2,1,2,2,3,4,5,4,4,4,3,4,5,4,4,7,6,6,8,12,8,7,15,13
31103,Fine Particulate Matter,2016-06-15,9,6,8,11,13,7,6,8,5,5,3,5,2,3,2,1,2,3,3,6,4,5,4,5
31103,Fine Particulate Matter,2016-06-16,4,2,1,1,1,2,4,4,2,2,3,2,1,1,3,4,12,18,16,14,14,14,8,9
31103,Fine Particulate Matter,2016-06-17,12,14,14,12,14,13,11,11,7,10,14,19,12,4,5,5,7,8,9,9,12,9,7,8
31103,Fine Particulate Matter,2016-06-18,7,6,6,6,6,5,6,5,11,14,13,16,16,17,17,16,13,17,16,14,6,8,9,10
31103,Fine Particulate Matter,2016-06-19,12,11,11,12,12,13,12,12,13,13,13,10,9,9,9,11,11,11,12,13,11,11,11,11
31103,Fine Particulate Matter,2016-06-20,10,10,10,10,9,9,9,10,8,8,7,9,11,14,13,12,12,14,14,14,11,5,5,8
31103,Fine Particulate Matter,2016-06-21,13,15,15,17,16,9,7,7,6,6,7,6,6,5,5,5,7,6,7,9999,9,6,3,2
31103,Fine Particulate Matter,2016-06-22,6,4,6,5,1,1,1,4,5,7,13,11,10,7,6,8,2,3,5,6,7,7,4,3
31103,Fine Particulate Matter,2016-06-23,5,5,7,5,3,2,1,3,7,11,11,9,10,12,9,7,7,7,9,16,16,9,11,4
31103,Fine Particulate Matter,2016-06-24,2,4,5,5,3,2,2,3,3,6,8,9,12,12,11,10,22,21,13,9,11,12,7,10
31103,Fine Particulate Matter,2016-06-25,13,13,13,10,10,11,11,11,7,6,5,4,7,10,9,8,9,10,8,7,6,6,7,6
31103,Fine Particulate Matter,2016-06-26,8,8,6,8,8,8,7,4,6,8,9,8,9,8,11,11,11,16,15,13,14,21,21,17
